Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2025-04-12,Przekąska,"Piatnica Jogurt Grecki 0% Naturalny","100x g",100,51,8.7,,8.7,0,0,0,0,,0,4.1,3.4,0,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,40,0,0,0.1
2025-04-12,Kolacja,"Pierś z kurczaka","273x g",273,270.27,58.695,0,58.695,3.549,0.819,0.819,0.819,,,0,0,158.34,0,,32.76,16.38,0.273,0.546,,1.638,,1.092,0,0,0.819,33.852,,1.365,655.2,0,90.09,0,1051.05,,150.15,13.65,1.092,
2025-04-13,Śniadanie,"Kleik ryżowy Bobovita","40x g",40,155.2,3.12,,,0.48,0.16,,,,0,34.2,0,,0.72,,,,0.32,,,,,,,,,,,,,,,,,,4.8,,,0.012
2025-04-13,Śniadanie,Białko,"60x g",60,234,47.4,,47.4,3.9,2.4,0.96,0.06,,,3,3,,0,,,,,,,,,,,,,,,,,,,,,,120,,,0.594
2025-04-13,Śniadanie,"Mleko spożywcze 0.5 % tłuszczu","100x ml",100,39,3.5,0,3.4,0.5,0.32,0.12,0.01,0,0.01,5.1,5.1,2,0,,5,15,0.04,0.17,,0.05,,0.4,1,0,0.01,0.1,0.1,0.4,97,3.4,12,0.01,141,,45.2,121,0.1,0.11
2025-04-13,Śniadanie,"Skyr jogurt pitny typu islandzkiego wiśnia ","1x opakowanie",350,280,22.75,,,5.25,3.85,,,,,35,34.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2025-04-13,Lunch,"High protein pudding + topping","2x opakowanie",230,200.1,23,,,5.29,3.68,,,,,14.26,11.04,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,0.575
2025-04-13,Przekąska,"Pierś z kurczaka","270x g",270,267.3,58.05,0,58.05,3.51,0.81,0.81,0.81,,,0,0,156.6,0,,32.4,16.2,0.27,0.54,,1.62,,1.08,0,0,0.81,33.48,,1.35,648,0,89.1,0,1039.5,,148.5,13.5,1.08,
2025-04-13,Przekąska,"Ryż Paraboiled Dlugoziarnisty","100x g",100,365,7.9,,,1.4,0.3,,,,,79,0.5,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.01
2025-04-13,Przekąska,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-04-14,Śniadanie,"High Protein Napój Mleczny czekoladowy","330x ml",330,221.1,34.98,,,0.99,,,,,,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-14,Śniadanie,"jogurt pitny typu islandzkiego malina żurawina ","1x opakowanie",350,280,22.75,,,5.25,3.85,,,,,35,33.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2025-04-14,Śniadanie,"Poledwiczki wieprzowe","200x g",200,218,42,,,4.4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-14,Śniadanie,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-04-14,Śniadanie,"Pierś z kurczaka","150x g",150,148.5,32.25,0,32.25,1.95,0.45,0.45,0.45,,,0,0,87,0,,18,9,0.15,0.3,,0.9,,0.6,0,0,0.45,18.6,,0.75,360,0,49.5,0,577.5,,82.5,7.5,0.6,
2025-04-14,Kolacja,Musztarda,"3x łyżeczka",30,49.5,1.71,1.71,,1.92,0.063,1.218,0.444,0.198,0.246,6.6,3.15,0,0.51,,5.4,,0.03,0.06,,0.003,,,0,,0.054,,1.62,0.21,51,,35.1,0.027,49.5,,228,28.5,0.54,0.57
2025-04-14,Kolacja,Miód,"10x g",10,33.3,0.03,,,0,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-14,Kolacja,"Ser feta","100x g",100,265,14.2,,,21.5,,,,,,3.88,0,,0,,0,125,0.15,0.84,0.97,0.42,,1.69,,,,0.99,,2.88,337,,,0.03,62,15,1140,493,0.65,
2025-04-14,Kolacja,Kaktus,"1x porcja",48,61.9968,0,,,1.5984,1.392,,,,,11.5008,8.64,,0.1008,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-04-15,Śniadanie,"Pierś z kurczaka","200x g",200,198,43,0,43,2.6,0.6,0.6,0.6,,,0,0,116,0,,24,12,0.2,0.4,,1.2,,0.8,0,0,0.6,24.8,,1,480,0,66,0,770,,110,10,0.8,
2025-04-15,Śniadanie,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
